Name	Parent name
MTND2P33	MT-ND2
RP11-373D7.1	ENPEP
RP11-346E8.1	CXorf21
RP11-664H7.1	MT-ND4L
RP11-21C4.4	NDUFA4
RP11-403B2.3	LONRF2
CTB-49A3.1	RPL6
RP11-33B1.2	GTF2I
RP11-132E11.4	RPL31
FEM1AP4	FEM1A
IGLV2-5	IGLV2-11
OR5AM1P	OR5M11
RP11-72M10.6	SPRYD5
RPL12P9	RPL12
GOT2P1	GOT2
AC007242.3	UBE2V1
KRT18P42	KRT18
RP1-172B20.6	FAM54A
ZDHHC20P1	ZDHHC20
AC005510.1	RPSA
CTD-2011G17.1	COX6A1
RP11-237N19.1	RPS27
EEF1A1P41	EEF1A1
RP11-159K7.1	TMEM183A
CTD-2588C8.1	RPS26
RP11-330L19.1	RPS26
RPL7P22	RPL7
OFD1P1Y	OFD1
AC023881.1	RPL37
AC092638.2	DNAJC17
PHKBP2	PHKB
PPIAP1	PPIA
RP11-841C19.4	PEA15
ELK2BP	ELK1
OFD1P11Y	OFD1
CTA-351J1.1	RPL13A
CTAGE16P	CTAGE5
RP5-874C20.3	ZNF192
GAPDHP32	GAPDH
RPS2P5	RPS2
AC007389.2	RPS15A
RP1-152L7.3	GSTA5
RP11-143H17.1	PICALM
DUTP8	DUT
RP11-391J2.1	HDAC1
TRIM64	TRIM64B
OR2A41P	OR2A25
RP11-564D11.3	C10orf88
RP11-16F15.4	CHSY1
RP11-561P12.2	SUPT4H1
AC007559.1	TXNDC17
HMGN1P4	HMGN1
FDPSP5	FDPS
RP11-307I2.1	RPL26
RP11-693N9.1	DNAH2
RP11-822E23.1	RPL21
BCRP5	BCR
AC013429.5	RPS3A
OR8B6P	OR8B2
CTD-2568P8.3	RBM8A
CTA-268H5.9	RPS10
PHBP1	PHB
AC002486.3	PTTG1
RP11-160N1.5	FAM27D1
H2BFS	HIST1H2BM
RP11-585F1.2	SEPT14
AC104600.1	E2F3
RP11-76H14.4	MTHFD2
ZNF736P11Y	ZNF736
CTC-308K20.3	PPA1
PCNPP2	PCNP
AC083863.5	RPL7A
RP4-609E1.2	SIRT5
RP11-55L3.2	ACTN4
HNRNPA1P28	HNRNPA1
CTD-2266L18.1	C14orf109
AC000374.1	PABPC1
FABP3P2	FABP3
RP11-136H13.2	DYNC1LI1
GS1-184P14.2	RPS26
AC006988.4	PQLC1
AF196972.2	OAT
ENO1P4	ENO1
RP11-36D19.5	EIF5A
RP3-382I10.3	AMD1
RP11-188C12.2	FOXH1
RP11-38O14.6	RPS20
RP11-159J3.1	GAPDH
RP11-365O16.5	RPL21
RPL7AP60	RPL7A
RP11-52L11.7	MT-CO3
RP11-537E18.1	RPL37
RP11-174F8.1	NEIL2
AC025627.9	KRT17
RP11-613G13.1	ZCCHC7
RP11-79C6.1	CAPSL
RP11-109G23.1	RPS21
RP11-642E20.3	UGT2B4
GLULP5	GLUL
RP11-536C10.11	SSBP4
BTF3L4P3	BTF3
RP11-255I10.1	RPL36A
CTA-397C4.3	MRPS18C
UQCRBP2	UQCRB
AC007041.2	DRG1
RP11-307O1.1	RPL39
AC006499.8	RAF1
RP11-97C18.1	AP2B1
RP11-702L6.1	C12orf29
RP11-302K17.3	SKP1
RP11-146E13.1	DUXA
CDY5P	CDY1
DUTP3	DUT
RP11-20D14.4	C19orf40
GAPDHP46	GAPDH
RP11-63H19.6	MT-CO3
RP3-474G15.1	HORMAD1
AC112198.1	CSPG4
AC129778.5	TRIM43
RP11-339N8.2	RPL36A
AC087499.8	YWHAE
COPS5P	PSMD14
OR8G7P	OR8B2
RP11-241I20.4	PTCHD3
RP11-10L12.6	LRRC37A
RP11-545E8.1	RPS26
RP1-202I21.3	RPS2
RP11-96B5.2	CCDC58
U40455.1	HAX1
PRDX3P3	PRDX3
FAM75D2P	FAM75D1
PCNPP3	PCNP
PPIAP20	PPIA
HMGB3P13	HMGB3
RP4-741O10.3	RPL12
RP11-552J9.5	SSX5
AC113617.2	RPSAP58
SUCLA2P2	SUCLA2
AC012314.21	VSTM1
RP4-657D16.5	SLC25A4
POU5F1P4	POU5F1
CTB-95B16.1	LIN28B
ZNF123P	ZNF620
RP13-158L7.3	NPM1
RP11-655G22.2	PERP
RP11-36N22.1	SLC25A18
AC093166.3	CENPN
RP11-956J14.2	HSP90AB1
CTC-498M16.3	RPL10
RP11-656G20.1	TRPA1
ST13P4	ST13
ELL2P3	ELL2
AC019185.2	H3F3B
RP1-190I16.2	MRPS10
RP11-90H3.2	MATR3
RP11-791G16.2	RPS6
HMGN2P22	HMGN2
RP11-484L7.2	TIGD1
RP6-227L5.1	MED28
PRYP1	PRY
CTD-2375G15.1	RPS2
RP5-1042I8.6	NOTCH2
YRDCP2	YRDC
CTD-2138O14.1	ADH5
RP11-655H13.1	MAPKAPK5
CTD-2298J14.1	UBE2D3
REREP2Y	RERE
HMGN2P21	HMGN2
RP5-1106E3.2	SSU72
HMGA1P1	HMGA1
RP11-707G14.3	CCDC58
OR4A40P	OR4A5
HMGN1P28	HMGN1
MRP63P7	MRP63
IFNNP1	IFNB1
RP3-483K16.3	RPL31
FKBP1AP2	FKBP1A
MARK2P10	MARK2
GPM6BP2	GPM6B
AL353997.11	YWHAE
BMS1P5	BMS1
AC110620.2	VDAC2
AC007387.2	RPS28
AP000936.5	NUDT21
AC112211.3	SUMO2
RP11-489C13.1	TIMM17A
RP11-71H17.1	RPS26
NCSTNP1	NCSTN
RP11-666A1.2	PPIA
AP000226.9	LLPH
OR5AC1	OR5AC2
ATP6V1G1P6	ATP6V1G1
RPL18AP2	RPL18A
RP4-559A3.5	NDUFA3
RP1-239B22.4	SDHC
RP11-662B19.1	RPL36A
IGKV7-3	IGKV3-11
RP11-252C24.2	ITCH
VN1R6P	VN1R4
GAPDHP55	GAPDH
RP11-241F15.5	FAM201A
RP11-146E13.2	NBEA
CTC-263F14.1	RPL31
RP11-629B11.2	PPBP
CTD-2528N2.1	TCEB1
RP11-622O11.3	SOD1
CTC-298B17.1	GJA1
RPS9P1	RPS9
RP11-115A15.2	COX6A1
AC006994.1	RPL6
RP1-203C2.2	ZNF674
RP11-330C7.4	H3F3B
RP11-459K23.1	RPS26
RP11-348A7.2	UBE2V1
YBX1P3	CSDA
RP11-305O4.1	NDUFS6
HIGD1AP8	HIGD1A
RBPJP2	RBPJ
RP11-272P10.3	ING1
RP11-507K13.6	RPL21
AC007881.4	NAGK
AC073065.3	ABCG2
RP11-241K7.2	OR7E24
AC090945.1	IMPDH1
GAPDHP21	GAPDH
RP11-125C16.1	RPS29
TCEB1P12	TCEB1
RP11-95M15.2	PTPN11
RP11-512M8.3	CCDC150
RP11-401L13.2	CRYZ
AC073135.6	GTF2I
AL163953.1	RPS3A
RP11-196D18.6	ZNF716
CTD-2122P11.1	TCP1
RP11-407N17.1	RPL7A
RP11-529A4.7	ANKRD33B
RP11-397E7.2	C7orf28B
EEF1A1P28	EEF1A1
POM121L3P	POM121L4P
RP13-644M16.5	UGT2B4
RP11-290L1.7	NOP10
RP1-20N4.1	BECN1
AC017035.2	RPL4
RP11-536L15.1	RPS29
RP11-504P24.5	FBXO25
RP1-14D6.2	MAGEA4
RP11-696L21.2	CIAPIN1
YWHAQP5	YWHAQ
RP11-313F23.1	TUBB
CIDECP	CIDEC
RP11-134G8.6	RPS10
RP11-316M21.8	TPM4
RP11-72M10.8	AC009237.1
SMARCE1P2	SMARCE1
AC026194.2	DUSP5
CDY20P	CDY1
RPL26P31	RPL26
MESTP1	MEST
RBM22P6	RBM22
RP11-312P12.2	POLR3D
AC018804.7	NOC2L
CTD-2313F11.4	GZMA
RP11-759A9.2	F3
RP11-89B16.2	OBFC2B
HMGB3P5	HMGB3
RP11-90O23.1	NSA2
RP11-554L12.3	SI
RP11-346D6.4	RPL31
AC108059.2	CCDC72
RPL31P47	RPL31
RP3-337H4.6	RPS2
RPL35AP30	RPL35A
RP11-386I23.1	MND1
RP13-158L7.2	HSPA8
RPL9P28	RPL9
CDY13P	CDY1
ESRRAP2	ESRRA
LL22NC03-123E1.5	C19orf2
RP11-252I14.2	ZNF670
RP3-378P9.2	TCERG1
RPL23AP62	RPL23A
YAP1P1	YAP1
RPL36P2	RPL36
RPL21P3	RPL21
TCEB1P18	TCEB1
RP11-552J9.12	OAT
PGAM1P3	PGAM1
AC007969.4	UFM1
RP11-24H1.1	RPS10
RP5-1053E7.3	ARL8B
RPL31P54	RPL31
MTND1P3	MT-ND1
RP11-723C11.2	NME4
FAM90A25P	RP11-1286E23.4
RP11-192H23.1	RPS12
RP11-116P9.7	OR5M11
RP1-261D10.1	PDZD11
AC011742.3	EMP2
RP13-210D15.1	CXorf48
RP11-305B6.1	C11orf58
OR10T1P	OR10R2
AC093106.6	RPS15A
RP11-360O19.5	RPL21
RP11-311D14.1	DDX50
RP11-32I2.1	KCTD10
RP11-318G8.2	FAM133A
RP11-360K13.2	AKTIP
RP3-397H23.2	RPS27
RP11-322I2.2	MKNK1
RP11-809F4.1	EI24
AC005488.11	FKBP6
UBE2Q2P4Y	UBE2Q2
RHOQP1	RHOQ
BNIP3P1	BNIP3
RPL9P8	RPL9
BTF3L4P4	BTF3
RP11-134L4.1	RPS4X
USP9YP12	USP9Y
GS1-164F24.1	NDUFB3
RP1-158I15.1	TCP11
RP11-659O3.3	CUL4A
RP5-1014O16.10	MAGEA11
RP11-52I18.1	RPS24
AL121578.5	MSMO1
RP11-113C12.5	OR7E24
AC007016.3	GAPDH
ACTBP6	ACTG1
RP11-958J22.2	HMGN2
RP11-776A13.2	TMTC1
RP11-1396O13.2	RPS24
AC009517.2	RPL18
RP11-269F19.4	RPS15A
RP11-336M17.1	IGBP1
RP11-366M4.17	RPS10
AC009477.7	NOS2
KRT8P29	KRT8
AC079781.9	RPS3A
AC025627.8	USP6
RP11-162G10.1	TLK2
RPL26P37	RPL26
RP11-145A3.4	LEFTY2
RP11-113A11.1	RPL15
RP11-472F19.2	RNFT1
RPL6P7	RPL6
RP11-707G14.8	ARPC3
BCAS2P1	BCAS2
USP9YP32	USP9Y
MAGEA7P	MAGEA8
TULP3P1	TULP3
RP11-210L7.1	NDUFA2
RP11-316K19.3	PPIA
RP5-1189B24.1	NDUFA4
MTND6P5	MT-ND6
RP11-414C16.1	VKORC1
RPS2P55	RPS2
HERC2P9	HERC2
AC068279.2	AC233263.1
RP11-356O22.4	RBMX
RP11-384C12.2	COX6B1
CTD-3145H4.1	NOLC1
SEPT10P1	SEPT10
RP11-1084A12.1	RPL32
AC061975.3	PYY
RP11-823P9.3	POM121
ZNF965P	ZNF267
RP11-487E1.2	RPL34
RP3-391O22.3	IFITM3
RP11-229P13.2	RPL30
RP11-224O19.5	RPS26
RP11-1060J15.5	HMGB2
ZNF736P12Y	ZNF736
AC012363.7	MT-ATP6
RP11-1012A1.7	DNAJC9
AC006030.1	KRT18
KRT8P46	KRT7
GS1-309P15.3	RDX
RP11-277J24.1	RPS20
AC079834.1	RPL23
RP11-413E6.2	C11orf2
AC073464.4	GXYLT2
PIP5K1P1	PIP5K1A
RP11-40C6.2	RPS29
RP4-590F24.2	RPL13A
FABP5P4	FABP5
RP11-509M23.1	PPIA
RP11-30B1.1	RPL21
RP5-862P8.3	PCNX
HMGB1P46	HMGB2
RP3-382I10.2	TAF13
AC083875.2	RPS15A
AP005232.1	IFITM3
ATP6V0CP2	ATP6V0C
MTX1P1	MTX1
RP11-667F9.1	KSR1
RPS17P17	RPS17
RP11-550C4.4	RPL27A
RP11-332O19.5	RPE
EIF2S2P4	EIF2S2
AC110926.2	MKI67IP
RAC1P4	RAC2
RP11-143E21.1	RPS20
RP11-471G13.4	HNRPDL
AC093787.1	KSR1
RP11-781P14.3	RPL3
IGKV2D-36	IGKV2D-29
RP11-237P21.1	SDHB
RP11-118B22.1	TPT1
OR5W1P	OR8U1
RP11-69H14.2	OR4N2
AC068538.2	ARPP19
RPS23P6	RPS23
AC096591.1	RPL5
RBMY2YP	RBMY1A1
RP11-787P24.2	RPGR
AC006987.7	DUX4L6
IL9RP3	IL9R
MTND4P22	MT-ND4
POM121L1P	POM121L4P
RP11-557J10.3	NCOA4
RP11-553L6.3	KIAA1539
RP11-389C8.1	RPL10A
ATP6V1G1P3	ATP6V1G1
RP11-697N18.1	RPS4X
RP11-435F13.2	RPLP1
CTD-2026G22.1	NOX4
RP11-191A15.2	UBE2D3
RP11-686N4.1	NAA20
RP11-365F18.1	RPL37A
RP11-68D16.2	PIAS2
UBQLN4P2	UBQLN1
RP5-947P14.2	TJP3
RP11-12A20.6	FAM27D1
SLC20A1P1	SLC20A1
RP11-74N9.1	RPL7
RP11-335I12.3	PDCL3
ARL2BPP10	ARL2BP
PRKY	PRKX
CDC27P2	CDC27
RP11-500M8.6	RAB5A
RP11-330O11.2	DDX10
CDC42P1	CDC42
RP13-313G19.2	NDEL1
XXbac-BPG55C20.3	POM121L4P
RP11-986G18.1	IQSEC3
RPS2P39	RPS2
CTD-2021A8.2	AC138035.1
RP11-85G18.4	LRRC37A2
RP11-451H23.2	CCDC86
RPS27P14	RPS27
CNN2P5	CNN2
UBE2V1P2	UBE2V1
RRM2P4	RRM2
RP11-474D14.2	RPS3A
RP11-96A1.3	LTV1
RP11-393N4.2	RPL8
CTD-2218K11.3	PPDPF
AC012513.3	POLH
MTND1P4	MT-ND1
RP11-69I22.2	HNRNPD
MTND6P8	MT-ND6
RPL12P33	RPL12
RP11-812D23.1	SH3BP4
RP11-39K24.7	TCF3
RPS6P22	RPS6
AC083939.1	G3BP1
PTMAP2	PTMA
AC108448.2	PSMA1
RP11-460N11.3	BMS1
RP11-347H15.5	SEPT7
DNAJA1P6	DNAJA1
RP11-432N13.2	ETS2
AC007014.1	RPL7L1
RP11-159H20.2	LYPLA2
AL590762.10	RHOG
RP11-1415C14.3	GUSB
FDPSP4	FDPS
MESTP3	MEST
RPS20P33	RPS20
AC010761.3	RPL31
RP11-666A8.1	RPL7
RP11-39C10.1	HSPA5
RP11-392L5.2	C2orf27A
AC015977.5	RPL37
RP11-272G22.2	RPS13
RP11-886D15.2	CASP1
ATP8A2P1	ATP8A2
RP11-665C16.1	RPL34
RP11-336F14.1	NAE1
RP11-621H8.1	RPL7L1
ASS1P7	ASS1
RP11-139F4.1	HNRNPA1
RP11-360D2.2	RPS27
HMGN2P5	HMGN4
SLC6A6P1	SLC6A6
RP11-309L24.6	FLNC
CTD-2593A12.4	ARPP19
AL672296.1	DPY19L4
RP11-380I20.2	SERF2
RP13-100A9.2	BLOC1S2
RP11-298E10.1	HMGN1
RP11-366M4.15	TRIM60
AC007919.18	TBPL1
RP11-439A17.5	RPL22
AC009237.4	TRIM64B
RP11-474C8.4	PHB
RP11-864N7.1	RPL36A
RP11-344L21.1	POLR2E
RP11-144J4.3	RPL21
RP5-905H7.4	GEMIN7
RP11-480N24.3	RPL12
RP11-462D18.2	RHOG
RP11-113K21.1	RPL10
RP11-34H11.6	FAM27L
RP11-232A1.1	RPS20
CTD-2653M23.1	KRT18
RP11-12D24.7	RNF152
TOP3B2	TOP3B
CTD-2230M5.2	SSU72
RP11-158I9.1	COX7C
ELK2AP	ELK1
RP11-496D1.2	RPL26
AC012078.2	ERVFRD-1
AL138479.3	RPL23A
RP11-435F17.1	RPS10
KB-1247B1.1	RPL6
ABCA17P	ABCA3
RP11-173M1.2	RPS16
RP11-5P18.2	USP6
FAM204BP	FAM204A
RP11-88I21.1	PRR20B
RP11-44N17.1	GAPDH
RP11-407P2.1	RPL21
RP11-292F20.1	LDHA
PGAM1P10	PGAM1
RP11-393N21.1	PABPC4
RP11-340E6.2	TPT1
LL0XNC01-37G1.2	RENBP
ASH2LP1	ASH2L
TPM3P1	TPM3
RP11-536C10.17	FAR2
ASS1P10	ASS1
RP11-561N12.6	PAGE4
OR52V1P	OR52B2
RP11-341G5.2	C9orf78
AC007161.5	RPL23A
AC015726.1	NDUFB4
RP11-375N15.1	DENND4A
RP11-1134I14.6	VPREB1
TET1P1	TET1
RP11-324E6.4	ISPD
RP11-393N4.1	C11orf51
RPLP1P13	RPLP1
RPL23P2	RPL23
HMGB3P23	HMGB3
RP11-323C15.1	RPL13
RP11-259F16.3	RPS12
RP11-129B22.6	PRDX3
RP11-248B10.3	PSMA3
RP11-133L14.4	HNRNPAB
HDHD1P3	HDHD1
CTD-2533K21.2	ANKRD11
RP11-571E6.1	NICN1
OR13Z1P	OR13C8
FAM108A7P	FAM108A1
RP11-1280N14.3-001	NAIP
RP11-790I12.1	UGT2B11
RPL12P4	RPL12
RP11-319G5.1	EEF1G
MORF4	MORF4L1
RP11-14J7.3	PTCD2
RP11-215P8.1	RPS10
RP11-269G2.1	RPS23
AC104076.2	RPL27A
RP11-1100L3.4	FLNB
LA16c-17H1.3	CISD2
CICP10	CIC
RP11-250B2.2	RPSA
AC126118.1	UBE2F
SETP14	SET
RP11-600F24.2	RPL10A
RP11-1042B17.2	RPS15A
RP11-1057B8.1	RPL23A
DBIL5P2	DBI
RP11-159J16.1	HNRNPA3
OR1D4	OR1D2
RP11-421N10.1	PFDN4
AC087431.1	RPSA
RP11-382M14.1	ASS1
RP11-752G15.4	SRSF9
RP11-403F21.1	ARMC8
RP11-424E7.3	IL9R
RP11-8L18.3	RPL37
RP4-769N13.2	BEND7
AC007272.3	RPL17
HMGB1P10	HMGB1
RP11-438P9.1	RPS16
RPL10AP2	RPL10A
RP11-39H3.1	C4orf27
FAM207CP	FAM207A
RP11-332L8.1	ATP6AP2
AC016909.2	SSBP1
AC009237.16	CDON
RPL29P3	RPL29
AC087499.5	DEF8
RP5-892G5.2	SUMO3
RP11-576C12.1	VPS33B
RP11-446E9.1	PSMC6
AC108039.3	HNRNPA1
RP11-151G14.1	MPPE1
KARSP2	KARS
RP11-617J18.1	TMEM66
RP11-100N3.4	OR5J2
DEFB108P3	DEFB108B
RP11-144O23.8	TAS2R7
AL162151.3	RPL3
GAPDHP20	GAPDH
MRPS31P3	MRPS31
CTD-3105H18.8	MT-ND2
RP11-19J5.1	GEMIN8
SUB1P1	SUB1
RP11-240E2.2	RPL31
NCLP1	NCL
RP11-603B24.3	IGHV4-34
DUTP4	DUT
RP6-113J7.1	NANOG
PRDX3P1	PRDX3
AC011290.5	TMX1
GAPDHP52	GAPDH
RP4-620E11.5	ZMYM1
RP11-568A7.1	UNC93A
SETP5	SET
AL390877.1	PNRC2
RP11-552E4.4	S100A11
RP11-591L14.1	RPS12
CTD-3233P19.2	RPL36A
HDGFP1	HDGF
RP11-34E5.2	NPM1
RP4-765F13.2	OR13H1
MTND5P6	MT-ND5
RSL24D1P2	RSL24D1
AC010878.3	STRAP
RPL36AP6	RPL36A
RP11-160N1.4	FAM27D1
IGHV3-71	IGHV3-49
RP11-693N9.2	CASP4
RP5-1033K19.2	BET1
RP11-360O19.1	GCNT1
IL6STP1	IL6ST
OR7E14P	OR7E24
RP13-492C18.2	ANKRD26
AP000361.2	ATP5J
RP11-76H14.3	RPL7
RP11-170M17.2	RPL7A
RP11-439L8.2	EEF1A1
RP11-270L13.1	RPL4
RP13-222H17.1	SERBP1
RP11-231C14.5	PLA2G10
RP11-39K24.12	MT-ATP6
AC005037.6	MT-ND4L
RP11-974F13.5	POM121L4P
CDY8P	CDY1
IGKV1D-35	IGKV1-16
RP11-449H3.2	RPL35A
RP11-417L14.1	KPNA2
RP11-12A20.8	RPL10
RP11-362M19.1	RPL21
AC111200.2	RPS26
AC130360.8	RP11-1286E23.17
RP4-735N21.1	C1orf123
RP11-402P6.5	NDUFA4
RP11-401M16.3	RPS4X
RP1-263J7.1	RPL7
RP11-740N7.3	C21orf63
RPL21P40	RPL21
UGT1A13P	UGT1A9
SNX18P9	SNX18
OR7E158P	OR7E24
IGKV1-13	IGKV1D-13
MRPS33P4	MRPS33
OR6C69P	OR2AP1
RP11-494M8.1	RPL7A
LA16c-60G3.7	SSBP3
USP9YP4	USP9Y
ZNRF2P2	ZNRF2
RP11-686G23.1	ARL6IP1
RP3-406P24.1	GLRX3
RP11-627H22.6	MT-CO2
AC127391.1	IGKV1D-39
IMPDH1P10	IMPDH2
TAF9BP1	TAF9B
POTEKP	POTEJ
RP11-91K8.4	MAF1
AC090453.1	RPL26
RP11-389K14.2	OR7E24
CTD-2343P13.1	THRAP3
RP11-1217F2.7	MT-CYB
RP11-1082L8.1	MRS2
RPL21P2	RPL21
TSPY5P	TSPY1
RANP5	RAN
GAPDHP47	GAPDH
AC125238.2	ZNF207
RP11-368I23.1	RPL21
VEZF1P1	VEZF1
PGAM5P1	PGAM5
HIGD1AP9	HIGD1A
RP11-164C12.1	SEPHS1
