sample1	sample2
chr9:110972073-111011690	13.3539303324346	14.0370219681037
chr9:111386377-111391824	13.0087948463859	12.2110513678788
chr9:125337018-125337591	11.8868043220073	12.8390825904918
chr9:33953285-33963791	12.8437356001154	12.4520594673826
chr9:35546430-35548535	12.1916589035357	12.4520594673826
chr9:37424845-37426654	11.8868043220073	12.4520594673826
chr9:4117768-4118881	11.7062320763655	12.2110513678788
chr9:4286038-4286523	13.6322314949217	13.1439371720202
chr10:101667886-101676436	10.9692664821993	12.8390825904918
chr10:101672915-101676436	11.499781198898	11.9215447506838
chr10:31373018-31461237	11.2587730993943	11.9215447506838
chr10:31908172-31910563	13.4140513248722	11.9215447506838
chr10:72340789-72341170	12.0472689942005	11.9215447506838
chr11:130260856-130261929	12.0472689942005	11.9215447506838
chr11:77624963-77625818	10.6066964028146	12.4520594673826
chr12:116230433-116237705	11.8868043220073	11.9215447506838
chr12:12244262-12244655	12.322903436814	11.9215447506838
chr15:25405461-25411971	11.8868043220073	11.9215447506838
chr15:62007308-62013992	9.38430398147811	13.1439371720202
chr16:68121987-68126610	12.7535377911438	11.9215447506838
chr17:47664159-47674782	11.8868043220073	10.3365822499626
chr17:82563354-82568201	11.8868043220073	11.9215447506838
chr18:12999421-13030608	12.6573224758845	11.9215447506838
chr18:12999421-13042334	10.6066964028146	12.65851034485
chr18:24064140-24069271	11.8868043220073	10.3365822499626
chr18:9583117-9595153	12.0472689942005	8.75161974924147
chr19:18539371-18539720	12.1916589035357	11.9215447506838
chr19:47416652-47417350	12.0472689942005	11.9215447506838
chr1:172140480-172144437	12.4431976705317	11.9215447506838
chr1:203707009-203708104	11.499781198898	11.9215447506838
chr1:23030469-23050520	10.9692664821993	12.9995472626851
chr1:23030469-23059167	11.7062320763655	11.0735478441288
chr1:30992390-30995220	12.4431976705317	11.9215447506838
chr1:53594108-53600278	11.7062320763655	11.9215447506838
chr1:65913245-65937700	11.7062320763655	10.3365822499626
chr21:15762891-15766141	12.4431976705317	11.9215447506838
chr21:37420299-37425781	11.2587730993943	8.75161974924147
chr21:8441346-8441554	7.79934148075695	12.2110513678788
chr22:45689712-45702847	10.9692664821993	12.2110513678788
chr22:45689712-45740538	11.7062320763655	11.9215447506838
chr2:135748267-135761911	9.38430398147811	12.2110513678788
chr2:201145378-201149835	10.1212695756443	12.2110513678788
chr2:36396614-36442735	12.1916589035357	8.75161974924147
chr2:36396614-36464655	11.499781198898	8.75161974924147
chr2:36396614-36479694	10.1212695756443	12.4520594673826
chr2:61522611-61526521	12.1916589035357	8.75161974924147
chr2:72731007-72733118	11.499781198898	11.9215447506838
chr3:11358418-11380052	12.5542289829204	8.75161974924147
chr3:142736379-142748460	12.1916589035357	11.9215447506838
chr3:31576396-31580096	11.2587730993943	11.9215447506838
chr3:71041328-71053773	10.6066964028146	12.4520594673826
chr4:128992167-129003876	13.9078659375351	11.9215447506838
chr4:185247294-185288082	11.7062320763655	11.0735478441288
chr4:1900626-1904378	11.7062320763655	11.9215447506838
chr4:1900626-1935262	11.7062320763655	11.0735478441288
chr5:14304461-14336727	10.9692664821993	12.65851034485
chr5:168488602-168497348	10.6066964028146	12.2110513678788
chr5:176943335-176958154	10.9692664821993	12.65851034485
chr5:38990949-39003622	11.7062320763655	11.9215447506838
chr5:65988635-65994864	12.9286244977019	11.9215447506838
chr5:65988635-66014725	11.7062320763655	8.75161974924147
chr6:108663455-108664889	10.1212695756443	12.2110513678788
chr6:136669283-136698682	10.9692664821993	12.2110513678788
chr6:16753233-16771193	11.7062320763655	11.9215447506838
chr6:16753233-16776973	12.9286244977019	8.75161974924147
chr6:57193842-57210445	10.1212695756443	12.2110513678788
chr6:7176655-7189322	12.6573224758845	11.9215447506838
chr6:87210451-87218731	11.499781198898	11.9215447506838
chr7:140601403-140602542	10.9692664821993	12.2110513678788
chr7:148846470-148847305	12.4431976705317	11.9215447506838
chr7:158788004-158799072	10.9692664821993	12.4520594673826
chr7:22976210-22984045	11.7062320763655	11.0735478441288
chr7:22976210-22991139	11.8868043220073	11.9215447506838
chr8:28713457-28718207	10.9692664821993	12.2110513678788
chr8:37765526-37766355	12.7535377911438	11.9215447506838
chr9:110941421-110942168	11.8868043220073	10.3365822499626
chr9:110941421-111011690	11.2587730993943	8.75161974924147
chr9:110941421-111036201	11.7062320763655	8.75161974924147
chr9:33953285-33973237	11.499781198898	10.3365822499626
chr9:77381976-77407607	7.79934148075695	12.2110513678788
chrY:2953909-2961646	11.8868043220073	8.75161974924147
