EnsemblProteinFamilyID(s)	HGNCsymbol
ENSFM00690001374631	ENO1
ENSFM00260000051004	EIF2AK1
ENSFM00550000750605	EIF2AK1
ENSFM00620001002204	EIF2AK1
ENSFM00670001238419	IGLV4-60
ENSFM00250000000389	MICA
ENSFM00250000000393	PRAMEF7
ENSFM00250000001521	HS6ST3
ENSFM00250000004821	BAHD1
ENSFM00770001847691	ZNF358
ENSFM00730001521094	OR51S1
ENSFM00730001521094	OR51A2
ENSFM00800002003539	PDPK1
ENSFM00660001186008	PDPK1
ENSFM00660001189622	PDPK1
ENSFM00660001189623	PDPK1
ENSFM00660001189624	PDPK1
ENSFM00250000002866	ZFYVE26
ENSFM00400000131765	PDE1C
ENSFM00550000747312	PDE1C
ENSFM00800002003814	SLC22A13
ENSFM00370000118599	ASPN
ENSFM00250000000393	PRAMEF5
ENSFM00250000006508	ITFG2
ENSFM00620001014086	ITFG2
ENSFM00620001020892	ITFG2
ENSFM00620001014087	ITFG2
ENSFM00620001014088	ITFG2
ENSFM00670001235428	IGLC1
ENSFM00250000005765	DGCR6L
ENSFM00670001241457	C16orf13
ENSFM00500000272527	C16orf13
ENSFM00800002004024	IGLV2-18
ENSFM00250000006738	TAF1B
ENSFM00550000769520	TAF1B
ENSFM00250000002626	DCAF12
ENSFM00250000005795	PBK
ENSFM00600000941932	PBK
ENSFM00730001521981	LIMK2
ENSFM00550000760591	LIMK2
ENSFM00250000005293	YIPF6
ENSFM00400000131810	H2AFY2
ENSFM00250000000618	ARHGEF28
ENSFM00750001632352	SPATA5L1
ENSFM00650001149008	SPATA5L1
ENSFM00250000004832	EARS2
ENSFM00660001186015	EARS2
ENSFM00660001182999	EARS2
ENSFM00660001186016	EARS2
ENSFM00670001282175	EARS2
ENSFM00500000269830	SLC44A4
ENSFM00670001240780	C9orf92
ENSFM00550000768388	C9orf92
ENSFM00730001521445	ATP8B1
ENSFM00690001374147	ATP8B1
ENSFM00690001374148	ATP8B1
ENSFM00500000279647	CLDN23
ENSFM00670001236135	KLRB1
ENSFM00260000051447	MSLNL
ENSFM00250000006336	UBIAD1
ENSFM00710001459723	UBIAD1
ENSFM00740001589134	KIR2DS2
ENSFM00500000309554	KRTAP17-1
ENSFM00620001020924	CLECL1
ENSFM00670001240742	CLECL1
ENSFM00720001497127	NEDD8-MDP1
ENSFM00500000277855	NEDD8-MDP1
ENSFM00610000961227	NEDD8-MDP1
ENSFM00500000269717	ITGA8
ENSFM00250000007218	MMACHC
ENSFM00730001522170	MAPK4
ENSFM00250000010010	C19orf71
ENSFM00250000009448	FAM161A
ENSFM00550000746486	FAM161A
ENSFM00670001236776	TMEM14C
ENSFM00800002003604	PHC2
ENSFM00250000004271	KLHDC1
ENSFM00640001116657	KLHDC1
ENSFM00260000051634	LCA5L
ENSFM00550000768959	LCA5L
ENSFM00550000756891	LCA5L
ENSFM00550000770184	LCA5L
ENSFM00550000762536	LCA5L
ENSFM00740001589218	PCMTD2
ENSFM00250000004662	PCMTD2
ENSFM00550000743151	GNL3
ENSFM00250000006548	SNAPC3
ENSFM00600000921841	TPD52L3
ENSFM00740001589209	SLC7A9
ENSFM00690001374394	SLC7A9
ENSFM00500000271766	FAHD2A
ENSFM00250000006141	C17orf85
ENSFM00690001368175	C17orf85
ENSFM00690001368176	C17orf85
ENSFM00740001589399	OVCH2
ENSFM00670001266396	FAM46A
ENSFM00250000001547	FAM46A
ENSFM00670001268167	FAM46A
ENSFM00730001521312	SLC6A4
ENSFM00680001326516	SLC6A4
ENSFM00730001521131	DNAH3
ENSFM00400000131776	LRRTM4
ENSFM00550000758777	LRRTM4
ENSFM00730001522391	CEL
ENSFM00760001752249	CEL
ENSFM00500000271510	DHRS7
ENSFM00640001117024	DHRS7
ENSFM00250000009854	DDN
ENSFM00300000079142	SLC16A2
ENSFM00670001235534	RPS10
ENSFM00500000269878	ARRDC3
ENSFM00460000244984	PDZD7
ENSFM00500000314906	TMEM240
ENSFM00770001863181	TMEM240
ENSFM00610000964181	TMEM234
ENSFM00670001236504	TMEM234
ENSFM00610000964182	TMEM234
ENSFM00800002003862	ADAMTS17
ENSFM00650001149134	ADAMTS17
ENSFM00660001186027	ADAMTS17
ENSFM00770001847581	PDSS1
ENSFM00730001522339	GJD2
ENSFM00730001521388	YWHAE
ENSFM00670001282270	YWHAE
ENSFM00780001898428	CWC27
ENSFM00500000274671	SH2D6
ENSFM00250000008950	TPGS1
ENSFM00740001589091	ZSCAN21
ENSFM00500000271516	MYRIP
ENSFM00750001632342	PRKCH
ENSFM00640001120035	PRKCH
ENSFM00640001116960	PRKCH
ENSFM00640001120037	PRKCH
ENSFM00640001116961	PRKCH
ENSFM00250000000652	DIP2B
ENSFM00630001072172	DIP2B
ENSFM00500000270260	TSPAN7
ENSFM00560000818364	TSPAN7
ENSFM00560000818082	TSPAN7
ENSFM00560000832792	TSPAN7
ENSFM00460000245070	LDOC1L
ENSFM00500000273214	DAZAP2
ENSFM00550000764362	DAZAP2
ENSFM00630001053401	DAZAP2
ENSFM00670001238438	DEFA1
ENSFM00570000851034	CCDC144A
ENSFM00540000717938	NPFFR2
ENSFM00730001521186	RAC1
ENSFM00730001522337	ANKRD13C
ENSFM00250000003189	RPS15
ENSFM00720001497275	RPS15
ENSFM00760001762941	RPS15
ENSFM00250000005241	VPS37A
ENSFM00600000941889	VPS37A
ENSFM00600000939528	VPS37A
ENSFM00600000941888	VPS37A
ENSFM00670001235536	LMTK2
ENSFM00670001239709	IGLV4-3
ENSFM00250000002407	TMEM39B
ENSFM00730001521643	OR52N2
ENSFM00250000001645	JUN
ENSFM00690001363684	NDUFA13
ENSFM00500000273406	NDUFA13
ENSFM00730001544002	NDUFA13
ENSFM00500000273237	ADAT2
ENSFM00500000272111	OC90
ENSFM00500000278248	GPR148
ENSFM00500000272646	HMX3
ENSFM00780001898418	FLOT1
ENSFM00550000765738	FLOT1
ENSFM00640001120203	FLOT1
ENSFM00640001117137	FLOT1
ENSFM00770001847809	IGLV3-16
ENSFM00500000269893	GALNT8
ENSFM00290000065519	GALNT8
ENSFM00740001589415	ARID2
ENSFM00760001750564	ARID2
ENSFM00740001589091	ZSCAN16
ENSFM00270000056439	GSTA3
ENSFM00720001492021	OR11A1
ENSFM00730001521463	SLC6A17
ENSFM00260000050665	BIRC6
ENSFM00730001521446	SLC16A7
ENSFM00630001072222	SLC16A7
ENSFM00630001070890	SLC16A7
ENSFM00630001072223	SLC16A7
ENSFM00630001070891	SLC16A7
ENSFM00630001072224	SLC16A7
ENSFM00630001072225	SLC16A7
ENSFM00690001369463	ZFP30
ENSFM00250000000002	ZFP30
ENSFM00690001369826	ZFP30
ENSFM00610000970654	ZFP30
ENSFM00700001391325	ZFP30
ENSFM00760001721575	ANXA8
ENSFM00760001714627	ANXA8
ENSFM00250000003895	SAMD9
ENSFM00250000010807	C1orf146
ENSFM00730001521203	OR8B2
ENSFM00250000002013	PPM1J
ENSFM00770001847809	IGLV3-10
ENSFM00730001522085	OR12D1
ENSFM00730001522492	GLIS2
ENSFM00250000007435	NTPCR
ENSFM00250000005856	GEMIN4
ENSFM00670001273191	GEMIN4
ENSFM00400000131720	MMP16
ENSFM00670001236045	OAF
ENSFM00740001589235	DNMBP
ENSFM00550000763146	GPATCH3
ENSFM00250000006115	GPATCH3
ENSFM00730001521964	OR5V1
ENSFM00500000271215	TTC27
ENSFM00550000755020	TTC27
ENSFM00550000761373	TTC27
ENSFM00550000748532	TTC27
ENSFM00250000002249	MAOA
ENSFM00480000262751	BRPF1
ENSFM00800002004024	IGLV2-14
ENSFM00800002003394	CDK3
ENSFM00250000000002	ZNF16
ENSFM00250000004973	ADA
ENSFM00620001015227	ADA
ENSFM00560000771841	FAM132B
ENSFM00550000746872	FAM132B
ENSFM00550000745924	FAM132B
ENSFM00730001522085	OR12D2
ENSFM00500000270459	CHP2
ENSFM00500000272389	FBXL7
ENSFM00250000007269	TC2N
ENSFM00600000921459	CPSF6
ENSFM00630001072230	CPSF6
ENSFM00250000008056	RNF39
ENSFM00260000050653	NTNG2
ENSFM00250000009509	MADCAM1
ENSFM00800002004011	IGLV3-12
ENSFM00700001407662	ZNF347
ENSFM00250000000002	ZNF347
ENSFM00700001407566	ZNF347
ENSFM00730001521339	OR8K3
ENSFM00260000051107	UBE2Z
ENSFM00580000907179	UBE2Z
ENSFM00670001278001	UBE2Z
ENSFM00670001274516	UBE2Z
ENSFM00500000269878	ARRDC4
ENSFM00740001589100	CACNA1A
ENSFM00670001277139	CACNA1A
ENSFM00670001277325	CACNA1A
ENSFM00690001374366	CACNA1A
ENSFM00640001112555	LINC01556
ENSFM00670001235573	IGKV1-9
ENSFM00500000274259	CD79B
ENSFM00670001236007	LSM4
ENSFM00700001402448	LSM4
ENSFM00250000001547	FAM46D
ENSFM00670001237681	IGLV9-49
ENSFM00250000008556	RNF26
ENSFM00250000009106	APOBR
ENSFM00500000273080	IL4
ENSFM00760001750951	IL4
ENSFM00300000081893	PRR20E
ENSFM00760001714840	DHRS11
ENSFM00250000006629	ALKBH1
ENSFM00500000271831	PLA2G16
ENSFM00620001021134	PLA2G16
ENSFM00250000005256	KIAA0196
ENSFM00500000281411	SENP1
ENSFM00540000717959	SENP1
ENSFM00560000771165	POM121
ENSFM00800002003589	RFC5
ENSFM00620001020290	RFC5
ENSFM00500000276310	GP6
ENSFM00610000969477	PATE4
ENSFM00670001242644	PATE4
ENSFM00250000004767	GEMIN2
ENSFM00550000755680	GEMIN2
ENSFM00610000967109	GEMIN2
ENSFM00720001503615	GEMIN2
ENSFM00250000010081	PPP1R3F
ENSFM00740001589477	TRIM26
ENSFM00250000003850	RING1
ENSFM00690001369682	ZNF224
ENSFM00750001632319	ZNF224
ENSFM00690001369683	ZNF224
ENSFM00500000270954	DHDH
ENSFM00600000941434	DHDH
ENSFM00500000270839	WFIKKN2
ENSFM00420000140522	HIPK3
ENSFM00610000970714	HIPK3
ENSFM00250000006681	C16orf45
ENSFM00800002003630	HNRNPCL2
ENSFM00800002003489	SCARB1
ENSFM00250000001242	PDZRN3
ENSFM00750001632321	PPIAL4F
ENSFM00250000000705	ALOX15
ENSFM00670001282288	ALOX15
ENSFM00790001965059	CYP2D7
ENSFM00600000928403	CYP2D7
ENSFM00770001847552	CYP2D7
ENSFM00730001521311	SULT1C3
ENSFM00740001589529	ZNF142
ENSFM00550000756449	ZNF142
ENSFM00550000752945	ZNF142
ENSFM00250000003293	LENG8
ENSFM00550000764838	LENG8
ENSFM00550000761024	LENG8
ENSFM00250000002149	PRKAB2
ENSFM00250000000259	H3F3B
ENSFM00730001522214	DNAH10
ENSFM00770001867717	DNAH10
ENSFM00730001521668	POU3F2
ENSFM00750001632397	ERN2
ENSFM00770001851772	ERN2
ENSFM00660001189655	ERN2
ENSFM00250000002277	GCN1L1
ENSFM00320000100072	OR1E2
ENSFM00250000000393	PRAMEF26
ENSFM00250000002754	FBLL1
ENSFM00670001235281	GJD3
ENSFM00250000009967	CCDC92
ENSFM00730001521595	KRT24
ENSFM00280000058746	E2F7
ENSFM00250000003215	METRNL
ENSFM00500000284853	PPP1R11
ENSFM00670001236638	PPP1R11
ENSFM00730001521124	ARF3
ENSFM00620001019999	ARF3
ENSFM00620001020249	ARF3
ENSFM00670001235849	IGLV1-50
ENSFM00250000006089	TAB1
ENSFM00500000347549	BLACE
ENSFM00500000272382	EBPL
ENSFM00500000297641	EBPL
ENSFM00500000308747	EBPL
ENSFM00500000293709	EBPL
ENSFM00740001589381	CR1
ENSFM00730001521582	ZNF133
ENSFM00740001591567	ZNF133
ENSFM00790001975105	ZNF133
ENSFM00600000921324	TOX
ENSFM00250000001127	DNASE1L1
ENSFM00550000756488	DNASE1L1
ENSFM00550000751916	DNASE1L1
ENSFM00550000767250	DNASE1L1
ENSFM00730001521172	CDH26
ENSFM00550000769561	CDH26
ENSFM00250000007727	THAP11
ENSFM00250000004470	DUOXA1
ENSFM00650001146348	DUOXA1
ENSFM00650001146349	DUOXA1
ENSFM00650001146350	DUOXA1
ENSFM00650001149003	DUOXA1
ENSFM00650001149004	DUOXA1
ENSFM00670001236965	SMIM14
ENSFM00580000907595	SMIM14
ENSFM00580000907596	SMIM14
ENSFM00260000050462	PTPN11
ENSFM00250000007251	CCDC77
ENSFM00570000857576	SPINK1
ENSFM00580000907099	SPINK1
ENSFM00740001589261	AHNAK
ENSFM00430000230248	TSEN34
ENSFM00730001521346	UGT1A6
ENSFM00700001396013	UGT1A6
ENSFM00740001589218	MYT1
ENSFM00250000006528	CYP39A1
ENSFM00560000771676	GAS1
ENSFM00800002003742	CRISPLD2
ENSFM00660001189841	CRISPLD2
ENSFM00680001319556	CRISPLD2
ENSFM00740001589516	KRCC1
ENSFM00730001521785	LPP
ENSFM00550000767700	LPP
ENSFM00550000754763	LPP
ENSFM00550000770871	LPP
ENSFM00550000761003	LPP
ENSFM00550000759579	LPP
ENSFM00250000002327	PLXDC1
ENSFM00680001326549	PLXDC1
ENSFM00600000921961	MRPL52
ENSFM00640001115096	MRPL52
ENSFM00640001105528	MRPL52
ENSFM00640001115097	MRPL52
ENSFM00500000403109	MRPL52
ENSFM00640001115098	MRPL52
ENSFM00500000438882	MRPL52
ENSFM00640001117009	MRPL52
ENSFM00250000000231	COL5A1
ENSFM00250000002721	OGN
ENSFM00250000001140	HOMER3
ENSFM00250000000459	ABLIM1
ENSFM00500000272218	APOBEC2
ENSFM00500000270369	GDF6
ENSFM00250000004211	DCAF8
ENSFM00740001609183	DCAF8
ENSFM00740001607211	DCAF8
ENSFM00740001604678	DCAF8
ENSFM00550000762588	DCAF8
ENSFM00250000005006	CDC45
ENSFM00500000270508	SLMO2
ENSFM00610000962124	SLMO2
ENSFM00250000005004	SLC22A18
ENSFM00600000921328	SH3KBP1
ENSFM00730001521766	HS3ST3B1
ENSFM00250000001520	GLUD2
ENSFM00500000274910	FAM47C
ENSFM00660001189612	NPW
ENSFM00600000925249	NPW
ENSFM00500000272282	PHRF1
ENSFM00250000008713	TIGD5
ENSFM00600000921332	ZBTB26
ENSFM00670001236361	SYNJ2BP
ENSFM00730001522027	WNT9B
ENSFM00500000271061	NMRAL1
ENSFM00250000006127	FBXO22
ENSFM00660001175583	FBXO22
ENSFM00250000011826	C6orf47
ENSFM00780001898351	ACACB
ENSFM00760001714703	ARPC1B
ENSFM00740001599756	ARPC1B
ENSFM00550000757090	ARPC1B
ENSFM00720001492063	RANBP1
ENSFM00550000768287	RANBP1
ENSFM00550000757834	RANBP1
ENSFM00250000000203	AOX1
ENSFM00730001521351	CYP4F12
ENSFM00630001070261	CYP4F12
ENSFM00630001070263	CYP4F12
ENSFM00310000089021	SMC3
ENSFM00550000768621	ZNF736
ENSFM00250000000002	ZNF736
ENSFM00480000262844	C1orf167
ENSFM00260000050629	EGFL6
ENSFM00800002003791	ASB14
ENSFM00730001521339	OR8K1
ENSFM00500000282874	PPP1R3E
ENSFM00650001146407	PPP1R3E
ENSFM00650001147631	PPP1R3E
ENSFM00650001147632	PPP1R3E
ENSFM00650001149522	PPP1R3E
ENSFM00650001149523	PPP1R3E
ENSFM00670001238304	BSPH1
ENSFM00660001183151	CCDC179
ENSFM00670001235282	ADORA2B
ENSFM00250000008600	PRR35
ENSFM00600000921284	ALG12
ENSFM00740001589095	SPTB
ENSFM00250000008748	GSDMB
ENSFM00680001315410	GSDMB
ENSFM00670001235579	STAC2
ENSFM00680001314936	STAC2
ENSFM00690001375194	TOP3A
ENSFM00690001375195	TOP3A
ENSFM00730001521690	TOP3A
ENSFM00680001318971	TOP3A
ENSFM00710001444272	TOP3A
ENSFM00690001375196	TOP3A
ENSFM00670001236361	SYNJ2BP-COX16
ENSFM00760001748673	SYNJ2BP-COX16
ENSFM00760001763044	SYNJ2BP-COX16
ENSFM00500000271091	C1QTNF2
ENSFM00670001236154	GOLGA6L10
ENSFM00500000271453	DECR2
ENSFM00550000748471	DECR2
ENSFM00250000004476	MMP23B
ENSFM00580000910233	MMP23B
ENSFM00600000924490	MMP23B
ENSFM00250000011745	PTCRA
ENSFM00250000002838	LRPPRC
ENSFM00550000769783	LRPPRC
ENSFM00600000921376	JOSD2
ENSFM00740001589229	ADAM2
ENSFM00670001235612	EFNA5
ENSFM00800002004011	IGLV3-9
ENSFM00670001280909	IGLJ1
ENSFM00250000003108	TGFA
ENSFM00730001521953	RHOV
ENSFM00250000002132	SAMD4A
ENSFM00670001239985	HCST
ENSFM00250000005424	ANKRD27
ENSFM00690001365372	ANKRD27
ENSFM00690001365373	ANKRD27
ENSFM00690001365374	ANKRD27
ENSFM00250000007196	POLG2
ENSFM00680001315675	POLG2
ENSFM00800002004011	IGLV3-1
ENSFM00800002003946	BOD1L1
ENSFM00560000805111	BOD1L1
ENSFM00250000003887	AK7
ENSFM00250000008590	PKDCC
ENSFM00550000747053	PKDCC
ENSFM00670001282195	ADCY7
ENSFM00730001521648	ADCY7
ENSFM00660001183207	ADCY7
ENSFM00670001282196	ADCY7
ENSFM00250000004735	BHMT
ENSFM00250000004063	RGS7BP
ENSFM00250000000658	KDM5B
ENSFM00710001461033	KDM5B
ENSFM00740001589458	NPBWR2
ENSFM00250000003985	NUP50
ENSFM00550000757729	NUP50
ENSFM00550000751079	NUP50
ENSFM00550000755317	NUP50
ENSFM00550000758605	NUP50
ENSFM00550000769455	NUP50
ENSFM00550000767534	NUP50
ENSFM00730001521287	OR2Z1
ENSFM00730001521542	PRICKLE1
ENSFM00250000003878	DHODH
ENSFM00680001314996	DHODH
ENSFM00670001252945	LINC00116
ENSFM00580000903381	LINC00116
ENSFM00800002003781	GTF2H2
ENSFM00580000903887	GTF2H2
ENSFM00710001458350	GTF2H2
ENSFM00440000237014	DDIT4L
ENSFM00670001237227	MLN
ENSFM00250000001584	SRCIN1
ENSFM00250000000221	FZD7
ENSFM00740001589176	TPO
ENSFM00250000009133	SPESP1
ENSFM00250000009393	TCAP
ENSFM00740001589134	KIR3DL2
ENSFM00310000089029	PDE3A
ENSFM00500000270313	H2AFZ
ENSFM00250000002503	ADGRV1
ENSFM00250000002590	ACIN1
ENSFM00760001754318	ACIN1
ENSFM00760001749828	ACIN1
ENSFM00250000010056	C1orf198
ENSFM00750001632370	CDS1
ENSFM00670001259207	CDS1
ENSFM00670001235568	NUDC
ENSFM00500000292703	SLN
ENSFM00600000939788	COX7A2L
ENSFM00500000274370	COX7A2L
ENSFM00600000941874	COX7A2L
ENSFM00600000939787	COX7A2L
ENSFM00730001521246	CYP2C9
ENSFM00250000002135	RAB11FIP3
ENSFM00270000057408	C6orf48
ENSFM00730001521626	MYO3B
ENSFM00500000270367	DCUN1D5
ENSFM00610000969931	DCUN1D5
ENSFM00610000969932	DCUN1D5
ENSFM00610000971366	DCUN1D5
ENSFM00610000969933	DCUN1D5
ENSFM00680001318301	DCUN1D5
ENSFM00250000005716	PDZD8
ENSFM00480000262857	MFRP
ENSFM00740001589113	DLAT
ENSFM00610000969468	DLAT
ENSFM00500000270331	G6PC
ENSFM00250000003287	PPT2
ENSFM00670001240559	PPT2
ENSFM00730001521438	HLA-DRA
ENSFM00570000851385	NPIPA7
ENSFM00250000004585	PPP1R37
ENSFM00500000277855	MDP1
ENSFM00740001589229	ADAM32
ENSFM00650001139994	ATP1A3
ENSFM00290000065523	FSHR
ENSFM00250000002214	PRPF8
ENSFM00600000922286	CD7
ENSFM00680001326762	CD7
ENSFM00680001326763	CD7
ENSFM00670001235997	MIF
ENSFM00250000000002	ZNF735
ENSFM00260000050749	GDAP2
ENSFM00250000000921	TET2
ENSFM00600000921229	MLLT6
ENSFM00250000001011	ARHGEF10L
ENSFM00760001715149	POTEH
ENSFM00500000270622	EMX2
ENSFM00760001750851	EMX2
ENSFM00470000251456	SLC25A15
ENSFM00610000968710	SLC25A15
ENSFM00500000274384	C1orf21
ENSFM00730001521377	OR6V1
ENSFM00250000001949	RPL19
ENSFM00500000274638	TRIM31
ENSFM00250000005365	SLC18B1
ENSFM00500000288955	SLC18B1
ENSFM00250000003497	TANGO2
ENSFM00350000105388	CES3
ENSFM00660001189769	CES3
ENSFM00500000273378	CDIP1
ENSFM00250000004289	GLCE
ENSFM00730001521233	OR10C1
ENSFM00730001522450	TMCO4
ENSFM00250000007302	SFR1
ENSFM00500000271458	TMPRSS15
ENSFM00720001503414	TMPRSS15
ENSFM00730001522085	OR12D3
ENSFM00250000004200	AMT
ENSFM00550000751467	AMT
ENSFM00600000921186	ANP32A
ENSFM00550000746790	ANP32A
ENSFM00730001521708	TRPM5
ENSFM00500000270410	AGPAT1
ENSFM00670001239356	CCL8
ENSFM00500000270404	IL1RAPL1
ENSFM00500000270427	TMEM184A
ENSFM00250000006135	NAPEPLD
ENSFM00250000002075	USP53
ENSFM00580000907006	USP53
ENSFM00670001235314	RPL23A
ENSFM00690001372473	RPL23A
ENSFM00800002004024	IGLV2-8
ENSFM00250000000438	MYL1
ENSFM00750001632379	OR9G1
ENSFM00260000050612	MTMR10
ENSFM00660001187784	MTMR10
ENSFM00250000005888	LZTFL1
ENSFM00550000752745	LZTFL1
ENSFM00550000756145	LZTFL1
ENSFM00500000272898	CD84
ENSFM00700001392037	IL1R1
ENSFM00500000270431	IL1R1
ENSFM00800002003695	PLGLB2
ENSFM00690001369760	LDLRAD4
ENSFM00250000003608	LDLRAD4
ENSFM00690001369761	LDLRAD4
ENSFM00690001366322	LDLRAD4
ENSFM00250000009397	NDP
ENSFM00670001245067	SCT
ENSFM00500000270699	SMYD1
ENSFM00480000262741	CHRFAM7A
ENSFM00500000274516	LYZL6
ENSFM00730001521376	SEMA6C
ENSFM00250000001205	ARHGAP32
ENSFM00250000004245	TMEM8B
ENSFM00250000003840	WBSCR16
ENSFM00570000851010	NLRP2
ENSFM00250000003219	APPL1
ENSFM00600000922420	FAM174A
ENSFM00250000003308	WSB1
ENSFM00680001317411	WSB1
ENSFM00680001318504	WSB1
ENSFM00680001317412	WSB1
ENSFM00790001963063	BLM
ENSFM00740001589091	ZNF396
ENSFM00690001374130	ZNF396
ENSFM00250000007772	CD244
ENSFM00250000004166	PUS3
ENSFM00790001962981	METAP2
ENSFM00630001072262	METAP2
ENSFM00500000282174	PHLDA2
ENSFM00440000237104	MROH6
ENSFM00760001745433	TPGS2
ENSFM00250000006051	TPGS2
ENSFM00690001370257	TPGS2
ENSFM00690001370258	TPGS2
ENSFM00690001366989	TPGS2
ENSFM00690001367873	TPGS2
ENSFM00680001307726	MAP2K3
ENSFM00770001847556	MAP2K3
ENSFM00610000973055	MAP2K3
ENSFM00680001326501	MAP2K3
ENSFM00680001319420	MAP2K3
ENSFM00500000291643	TEN1
